OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,Housing Occupancy: Total Housing Units,Units in structure: total housing units, total housing units: 1 unit detached, total housing units: 1 unit attached, total housing units: 2 units, total housing units: 3 or 4 units, total housing units: 5 to 9 units, total housing units: 10 to 19 units, total housing units: 20 or more units,Housing Tenure: Occupied housing units,Housing Tenure: Occupied housing units: Owner-occupied,Housing Tenure: Occupied housing units: Renter-Occupied,Gross Rent: Occupied units paying rent
1,11,1,10900,11001010900,109,Census Tract 109,G5020,1421,1421,10,91,18,181,468,358,295,1295,65,1230,1223
2,11,1,10400,11001010400,104,Census Tract 104,G5020,1834,1834,243,417,47,337,306,429,55,1621,439,1182,1172
3,11,1,9903,11001009903,99.03,Census Tract 99.03,G5020,764,764,153,508,0,30,18,55,0,663,509,154,141
4,11,1,9904,11001009904,99.04,Census Tract 99.04,G5020,1339,1339,105,260,13,45,344,504,68,1130,301,829,817
5,11,1,902,11001000902,9.02,Census Tract 9.02,G5020,865,865,707,82,44,6,7,5,14,835,754,81,76
6,11,1,1500,11001001500,15,Census Tract 15,G5020,2137,2137,2011,61,0,0,0,0,65,2084,1892,192,176
7,11,1,1302,11001001302,13.02,Census Tract 13.02,G5020,5216,5216,248,86,54,45,283,80,4420,4919,1590,3329,3228
8,11,1,5500,11001005500,55,Census Tract 55,G5020,4664,4664,0,303,132,295,161,31,3707,3909,1576,2333,2333
9,11,1,801,11001000801,8.01,Census Tract 8.01,G5020,2830,2830,972,289,0,61,0,58,1450,2549,2202,347,308
10,11,1,9905,11001009905,99.05,Census Tract 99.05,G5020,1350,1350,158,394,20,80,311,331,10,1118,455,663,630
11,11,1,9906,11001009906,99.06,Census Tract 99.06,G5020,808,808,59,156,6,53,183,334,17,727,198,529,518
12,11,1,2102,11001002102,21.02,Census Tract 21.02,G5020,2231,2231,258,1058,100,296,88,161,253,1984,1133,851,833
13,11,1,2201,11001002201,22.01,Census Tract 22.01,G5020,1143,1143,19,987,26,33,0,28,50,992,884,108,86
14,11,1,2202,11001002202,22.02,Census Tract 22.02,G5020,1490,1490,0,574,42,452,106,198,118,1224,591,633,633
15,11,1,2301,11001002301,23.01,Census Tract 23.01,G5020,1202,1202,52,934,18,38,22,74,64,1151,914,237,220
16,11,1,6400,11001006400,64,Census Tract 64,G5020,1435,1435,21,358,95,14,288,64,595,1317,196,1121,1108
17,11,1,6500,11001006500,65,Census Tract 65,G5020,1476,1476,163,630,120,230,26,86,221,1185,598,587,587
18,11,1,6600,11001006600,66,Census Tract 66,G5020,1127,1127,79,457,178,111,68,116,118,1031,617,414,382
19,11,1,6700,11001006700,67,Census Tract 67,G5020,1932,1932,107,1245,201,106,93,100,80,1812,1185,627,615
20,11,1,10200,11001010200,102,Census Tract 102,G5020,2422,2422,39,366,0,46,58,0,1903,2137,578,1559,1535
21,11,1,11000,11001011000,110,Census Tract 110,G5020,2640,2640,40,566,0,40,83,16,1895,2540,1495,1045,1045
22,11,1,6802,11001006802,68.02,Census Tract 68.02,G5020,1079,1079,45,723,42,48,57,85,79,1034,712,322,310
23,11,1,7408,11001007408,74.08,Census Tract 74.08,G5020,1310,1310,28,95,71,343,342,321,95,1035,134,901,901
24,11,1,7409,11001007409,74.09,Census Tract 74.09,G5020,1637,1637,23,552,0,97,227,670,68,1570,370,1200,1125
25,11,1,7809,11001007809,78.09,Census Tract 78.09,G5020,1386,1386,312,712,41,48,43,230,0,1187,696,491,450
26,11,1,7903,11001007903,79.03,Census Tract 79.03,G5020,914,914,78,593,34,156,39,10,4,785,512,273,268
27,11,1,8001,11001008001,80.01,Census Tract 80.01,G5020,1424,1424,94,1118,34,23,85,0,70,1236,908,328,328
28,11,1,9400,11001009400,94,Census Tract 94,G5020,1832,1832,1347,262,0,18,53,44,108,1654,1361,293,253
29,11,1,9501,11001009501,95.01,Census Tract 95.01,G5020,1991,1991,26,392,106,102,299,811,255,1898,348,1550,1550
30,11,1,9503,11001009503,95.03,Census Tract 95.03,G5020,1268,1268,653,578,0,0,37,0,0,1118,945,173,144
31,11,1,9504,11001009504,95.04,Census Tract 95.04,G5020,1392,1392,231,557,26,475,29,57,17,1263,806,457,437
32,11,1,9505,11001009505,95.05,Census Tract 95.05,G5020,1601,1601,558,687,0,120,21,0,215,1356,982,374,374
33,11,1,9907,11001009907,99.07,Census Tract 99.07,G5020,1227,1227,105,403,230,222,176,78,13,1161,199,962,910
34,11,1,2501,11001002501,25.01,Census Tract 25.01,G5020,1071,1071,81,504,15,32,39,90,310,1007,501,506,506
35,11,1,2302,11001002302,23.02,Census Tract 23.02,G5020,950,950,0,177,11,10,17,233,502,796,164,632,621
36,11,1,2400,11001002400,24,Census Tract 24,G5020,1531,1531,155,836,39,56,19,143,283,1426,859,567,503
37,11,1,2502,11001002502,25.02,Census Tract 25.02,G5020,2641,2641,76,852,63,158,115,108,1269,2445,894,1551,1520
38,11,1,7000,11001007000,70,Census Tract 70,G5020,1187,1187,66,683,262,63,38,51,24,1007,501,506,496
39,11,1,7100,11001007100,71,Census Tract 71,G5020,1430,1430,35,440,110,34,207,217,387,1293,555,738,725
40,11,1,6900,11001006900,69,Census Tract 69,G5020,1260,1260,45,653,145,157,123,21,116,1187,691,496,496
41,11,1,7200,11001007200,72,Census Tract 72,G5020,4209,4209,58,323,41,0,10,0,3777,3835,622,3213,3213
42,11,1,9507,11001009507,95.07,Census Tract 95.07,G5020,604,604,114,448,0,0,0,25,17,592,483,109,96
43,11,1,9508,11001009508,95.08,Census Tract 95.08,G5020,1799,1799,56,679,58,11,28,296,671,1568,602,966,921
44,11,1,9509,11001009509,95.09,Census Tract 95.09,G5020,1313,1313,236,1077,0,0,0,0,0,1288,1145,143,107
45,11,1,9700,11001009700,97,Census Tract 97,G5020,1309,1309,50,568,0,0,167,376,148,1141,357,784,760
46,11,1,9801,11001009801,98.01,Census Tract 98.01,G5020,926,926,16,380,20,60,130,66,254,845,158,687,682
